메뉴종류,상호명,조회수,리뷰수
분식,쪼매매운떡볶이,178749,71
분식,공릉우동집,58101,21
분식,두끼                                    (노원점),6322,3
분식,며느리도몰라,18429,13
분식,소라,4997,9
분식,멍텅구리즉석떡볶이,14771,17
분식,봉구스밥버거                                    (서울과기대점),2780,0
분식,고배우의깜장떡볶이,4657,7
분식,갑분식,477,0
분식,영스넥,6345,11
분식,스쿨푸드                                    (중계홈플러스점),980,2
분식,삐삐핵볶이,2644,4
분식,동대문엽기떡볶이                                    (노원역점),2767,2
분식,세븐돈까스김밥                                    (공릉점),3388,1
분식,신품떡볶이                                    (공릉점),1691,1
분식,동대문엽기떡볶이                                    (공릉점),2867,4
분식,바푸리숯불김밥                                    (노원점),2604,1
분식,고봉민김밥인                                    (서울중계점),1455,1
분식,오빠만두                                    (노원본점),1436,0
분식,아미스키친,672,0
분식,신참떡볶이,639,0
분식,삼진어묵                                    (노원점),598,0
분식,샘터분식,593,0
분식,보림분식,485,0
분식,얌샘                                    (노원점),441,0
분식,불사조스낵바,438,0
분식,파라솔분식,404,0
분식,오뚜기분식,315,0
분식,알뜰분식,2,0
세계음식,썸머타이,34479,33
세계음식,베트남노상식당                                    (광운대점),6582,8
세계음식,하노이별,6479,10
세계음식,포앤반                                    (하계역점),1895,0
세계음식,알러이,2518,5
세계음식,올드델리                                    (노원점),7410,9
세계음식,72420                                    (노원점),759,2
세계음식,씬머이                                    (태릉본점),1554,1
세계음식,르번미                                    (태릉점),3651,5
세계음식,포베이                                    (석계역점),3707,4
세계음식,부리또인                                    (노원역점),7117,7
세계음식,포메인                                    (노원점),2569,1
세계음식,누들바,490,0
세계음식,바모스,1876,2
세계음식,포앤시드니                                    (중계점),1434,1
세계음식,포메인                                    (중계점),1816,0
세계음식,몽둥이부리또                                    (서울여대점),1250,0
세계음식,차차,264,0
세계음식,리틀방콕                                    (중계점),31,0
세계음식,수수타이,4,0
카페,당혹,3092,6
카페,아고라커피,40318,49
카페,던모스,19459,21
카페,디저트카페바미,31865,29
카페,표준커피,10564,19
카페,스윗레시피,10135,10
카페,칸텐,5162,9
카페,오누이,9236,13
카페,달콤한순간,6829,13
카페,이너모스트,12979,17
카페,라라브레드                                    (공릉점),9001,38
카페,마롱카롱,28552,19
카페,마이디어스윗,4731,8
카페,감각,2958,6
카페,무드쉐어,10227,20
카페,시드누아                                    (노원본점),38500,55
카페,비스킷플로어,15899,16
카페,상상과자점,6468,15
카페,브레드스팟,17263,13
카페,카페쉔,4679,6
카페,뽀스뜨레,12736,12
카페,잭팟,1337,0
카페,갤러리카페 봉프레,2367,0
카페,카페 코스테스,2278,7
카페,1986베이커,15083,7
카페,리프노즈드아쉬지,1514,4
카페,플로레스테이블,1783,4
카페,샛별제과,6561,8
카페,유니온커피로스터,5127,7
카페,플랫커피,4527,4
카페,후아나,4179,6
카페,금남커퓌,113,3
카페,쿡앤밀107,5784,2
카페,마이브라더스,4166,6
카페,향과울림 coffeecacao,1808,3
카페,샤오린,753,3
카페,Ddami Coffee,1774,2
카페,라트커피,1142,3
카페,엘밭,1147,2
카페,비틀주스                                    (서울여대점),2951,1
카페,그루브커피로스터스,1655,3
카페,소중한날엔,1962,2
카페,예노,2594,1
카페,디저트뒤쥬르,2598,4
카페,여섯시오븐                                    (롯데백화점노원점),2389,2
카페,카페평정심,1277,0
카페,메모아,983,3
카페,다이브인브레드,3355,1
카페,라페뜨,3017,1
카페,요거프레소                                    (서울산업대점),2276,0
카페,커피니                                    (공릉점),2542,3
카페,웁스어데이지                                    (롯데백화점 노원점),435,3
카페,스토어36 5                                    (노원점),3812,2
카페,모퉁이까페,2173,2
카페,H갤러리,1353,2
카페,오피커피,202,1
카페,에슬로우,2721,4
카페,할리스커피                                    (노원문화의거리점),4221,3
카페,Nirv Coffee,970,3
카페,블루마일스,543,3
카페,카페277,2361,2
카페,호조커피,18,1
카페,브레드원                                    (노원점),2579,9
카페,왕짜장,2349,3
카페,시즌,1560,3
카페,나무아래커피볶는집,1498,1
카페,아티스트웨이,1208,1
카페,달콤제빵소,278,1
카페,우리행성,104,1
카페,그릭같은집,21,1
카페,최기령제과점,5095,5
카페,와플스타,1562,5
카페,502세컨즈카페,1028,5
카페,휘드카페,3262,4
카페,토끼별,1774,2
카페,어반플레이스,1376,2
카페,마롱카롱                                    (은행사거리점),1024,2
카페,케어프리,960,2
카페,감나무아래,3943,1
카페,스타벅스                                    (공릉DT점),471,1
카페,아너카페,1286,3
카페,에이치큐브,4724,2
카페,커피파는술집,1897,2
카페,스윗버터,405,2
카페,카페무슨달,97,2
카페,레스빠스커피,2271,1
카페,작지만카페,6,1
카페,카페포유,2,1
카페,스타벅스                                    (광운대점),2676,4
카페,민부곤 과자점,3583,2
카페,커피베스코                                    (노원점),2012,2
카페,마비노스커피,1358,2
카페,흑화당                                    (롯데백화점노원점),628,2
카페,제뉴어리퍼스트,292,2
카페,베리굿타임,3156,1
카페,박기철떡공방 연희,1636,1
카페,위플랜트위커피,1487,1
카페,카페모멘트,1221,1
카페,허유산                                    (롯데백화점 노원점),852,1
카페,춘삼월,423,1
카페,딜리스,417,1
카페,그리팅베이커리,268,1
카페,카툰공감                                    (노원역점),49,1
카페,카페 우아즈,23,1
카페,맨드라미빵집,2620,3
카페,파브커피,1528,3
카페,나폴레옹과자점                                    (롯데백화점 노원점),2510,2
카페,롤링스윗츠,1582,2
카페,이디야커피                                    (원자력병원점),2193,1
카페,수이즈,1209,1
카페,NOWHERE,953,1
카페,설빙                                    (수락산역점),904,1
카페,카페브람스,734,1
카페,비엔나커피하우스                                    (노원역점),563,1
카페,모비딕,502,1
카페,메종그리즈,82,1
카페,위트브라운,527,0
카페,1일1잔,1990,3
카페,카페 플로렌스,1977,2
카페,스타벅스                                    (공릉역점),1791,2
카페,아헨1995,1586,2
카페,미르,414,2
카페,4분의1,261,2
카페,놀숲                                    (노원점),3706,1
카페,엘리제과자점,3411,2
카페,보타닉커피,2831,2
카페,꼼카페,2656,1
카페,커피콩,2245,1
카페,몽실디저트,1643,1
카페,커피니                                    (서울과학기술대점),1355,1
카페,엔제리너스                                    (롯데시네노원점),1282,1
카페,제로포인트제로,995,1
카페,카페801,638,1
카페,달달제과,509,1
카페,제3공간,335,1
카페,라운드테이블커피,157,1
카페,카페달미,42,1
카페,카페파란파랑,2891,0
카페,커피프렌즈,749,0
카페,카페해야,319,0
카페,싕싕제과,17,0
카페,호호커피집,1796,4
카페,와플대학                                    (노원역캠퍼스),2375,2
카페,카페드미셸,2193,2
카페,오피셜커피,2052,2
카페,에그에그커피,384,2
카페,이디야커피                                    (태릉입구역점),3096,1
카페,커피아가씨와와플총각                                    (공릉점),2083,1
카페,설빙                                    (노원역점),1460,1
카페,공릉동마카롱,1319,1
카페,마을과마디,1123,1
카페,스윗블룸,822,1
카페,카페어썸,813,1
카페,커피빈                                    (노원역점),672,1
카페,스타벅스                                    (노원마들역점),545,1
카페,카페거실,491,1
카페,카페아임,374,1
카페,르다,331,1
카페,폴콘                                    (롯데백화점노원점),212,1
카페,카페 더모먼트,42,1
카페,카페그늘,672,0
카페,라비쉬,365,0
카페,채한희퓨전떡,76,0
카페,쿠방플러스,15,2
카페,노란코끼리                                    (노원점),3060,1
카페,빵장수요셉,2934,1
카페,스타벅스                                    (노원역점),2073,1
카페,아마스빈버블티                                    (노원역점),1768,1
카페,커피블러썸,1766,2
카페,펭귄드링스커피                                    (2호점),1565,1
카페,라비다커피,1506,1
카페,백미당                                    (롯데백화점 노원점),1384,1
카페,커피는기억에끌림,1306,1
카페,마리웨일237                                    (노원점),1289,1
카페,팬도로시                                    (서울여대점),1221,1
카페,카페다온,1161,1
카페,눈가루,1078,1
카페,커피하우스,1049,1
카페,커피베이                                    (노원상계점),694,1
카페,Cafe 나랑,680,1
카페,홀리몰리베이글리,474,1
카페,달콤앤조이,441,1
카페,오초록,293,1
카페,탐앤탐스커피                                    (하계점),233,1
카페,포숑                                    (노원롯데백화점),145,1
카페,크로플각,143,1
카페,영스테이,134,1
카페,배스킨라빈스                                    (노원로데오점),80,1
카페,라트로스터스,74,1
카페,다님길,27,1
카페,크라상점                                    (노원점),5,1
카페,원주율,4,1
카페,뚜르몽드,2582,0
카페,이디야커피                                    (공릉역점),2268,0
카페,이디야커피                                    (서울과기대점),1607,0
카페,벤지커피,1366,0
카페,호두과자랑어묵이랑,1305,0
카페,이디야커피                                    (서울여대점),1283,0
카페,빽다방                                    (서울과기대점),1212,0
카페,마들카페,1141,0
분식,쪼매매운떡볶이,178749,71
분식,공릉우동집,58101,21
분식,두끼                                    (노원점),6322,3
분식,며느리도몰라,18429,13
분식,소라,4997,9
분식,멍텅구리즉석떡볶이,14771,17
분식,봉구스밥버거                                    (서울과기대점),2780,0
분식,고배우의깜장떡볶이,4657,7
분식,갑분식,477,0
분식,영스넥,6345,11
분식,스쿨푸드                                    (중계홈플러스점),980,2
분식,삐삐핵볶이,2644,4
분식,동대문엽기떡볶이                                    (노원역점),2767,2
분식,세븐돈까스김밥                                    (공릉점),3388,1
분식,신품떡볶이                                    (공릉점),1691,1
분식,동대문엽기떡볶이                                    (공릉점),2867,4
