메뉴종류,상호명,조회수,리뷰수
중식,호접몽,15462,15
중식,위안바오,15816,21
중식,광성반점,14355,11
중식,향림,19008,10
중식,미차이,6575,5
중식,라공방                                    (노원점),3435,6
중식,송화강식당,6248,3
중식,가양양꼬치,3081,3
중식,가원양꼬치,3617,5
중식,뽕쉡,726,4
중식,니뽕내뽕                                    (노원역),6716,8
중식,뽕신                                    (공릉점),11468,16
중식,짬뽕필락,5687,9
중식,홍익짬뽕                                    (노원2호점),4926,9
중식,디앤제이,3367,5
중식,양드림,2604,3
중식,왕짜장,2349,3
중식,식상가,1060,2
중식,진짜루,3602,4
중식,신미방마라탕,3004,3
중식,소소중식,1459,1
중식,중국집,489,1
중식,예원,2403,0
중식,귀빈,4107,5
중식,대박짬뽕마을,1740,2
중식,설화,342,2
중식,쌍둥이가원양꼬치,1309,1
중식,경화루 해물짬뽕,159,1
중식,라화쿵부,1171,3
중식,공덕관,2827,2
중식,경성양꼬치                                    (노원점),2551,1
중식,용천각,2206,1
중식,영빈관,1190,1
중식,대궁,1081,1
중식,춘리마라탕                                    (공릉점),611,1
중식,니뽕내뽕                                    (중계은행사거리점),464,1
중식,신오구반점,125,1
중식,미미,22,1
중식,중쿡집,21,1
중식,짬뽕늬우스                                    (노원점),2648,2
중식,색다른탕수육                                    (과기대점),1997,2
중식,차이니스,2443,1
중식,마시내탕수육                                    (중하계점),1870,1
중식,육갑촌,1819,1
중식,외백,1749,2
중식,인차이나,1545,1
중식,전설의짬뽕                                    (공릉점),1197,1
중식,청도양꼬치,1055,1
중식,라화쿵부                                    (상계역점),720,1
중식,노원우동짜장,368,1
중식,매란방                                    (월계이마트점),65,1
중식,상계짜장,7,1
중식,안시성,3198,0
중식,서울대반점,2290,3
중식,미식성,943,2
중식,용궁중화요리,1964,1
중식,심원중화요리,1478,1
중식,신연마라탕,231,1
중식,보배반점,224,1
중식,챠이몽,3304,0
중식,장천,1358,0
중식,중화루,992,0
중식,서향,3868,2
중식,대림각,1229,1
중식,인정각,297,1
중식,청구반점,2485,0
중식,만리향,2309,0
중식,날으는철가방,1721,0
중식,현진,1593,0
중식,챠이니중화요리,1504,0
중식,옛날짜장,1403,0
중식,태자성,1283,0
중식,궁,1179,0
중식,달짜장,1155,0
중식,일향루,1151,0
중식,월계관,1009,0
중식,짜장과우동,876,0
중식,미스터탕수육,757,0
중식,산동성,752,0
중식,신중국,741,0
중식,칠성해물통짬뽕,674,0
중식,리차이나,660,0
중식,장성반점,607,0
중식,홍콩반점0410                                    (노원역 남부점),424,0
중식,주세프 명인,310,0
중식,슈엔차이,309,0
중식,마녀짬뽕,279,0
중식,금화반점,274,0
중식,더원,228,0
중식,국빈,227,0
중식,호동반점,215,0
중식,인향연 훠궈&샤브샤브,169,0
중식,8월의중식                                    (노원점),152,0
중식,태릉양꼬치양갈비,140,0
중식,락궁,136,0
중식,조이락,126,0
중식,팔선당,100,0
중식,삼호각,93,0
중식,동식이네,93,0
중식,메이향,87,1
중식,미스터홍짬뽕,84,0
중식,중원,83,0
중식,펑라이,79,0
중식,인생마라,74,0
중식,상하이,71,0
중식,훠궈나라                                    (노원점),63,0
중식,도쿄짬뽕                                    (홈플러스중계점),63,0
중식,Chai797Plus                                    (롯데노원점),35,0
중식,양꼬치가,31,0
중식,해담짜장볶는집,29,0
중식,현경양고기무한리필,12,0
중식,광운양꼬치,8,0
중식,중식당몽,1,0
