메뉴종류,상호명,조회수,리뷰수
한식,노원목고기집,64292,30
한식,또와순두부수제비,3174,10
한식,털보고된이,41024,41
한식,제일콩집,52406,35
한식,무명칼국수,26869,30
한식,생선까시,38751,21
한식,땅코참숯구이                                    (노원점),7609,13
한식,쪼매매운떡볶이,178749,71
한식,더맛나곱창,33627,28
한식,공릉우동집,58101,21
한식,최대섭대박김밥                                    (상계역점),1123,4
한식,강강술래                                    (상계점),17853,17
한식,돈까스먹는용만이,22154,25
한식,피노키오냉면,20704,25
한식,제형면옥,5318,14
한식,원조이모네연탄불곱창,34055,40
한식,가재골수제비,7290,15
한식,대머리곱창,11242,14
한식,쭈꾸미달인                                    (노원점),12068,22
한식,쭈꾸미달인2,2503,53
한식,닭한마리                                    (공릉본점),11559,32
한식,홍대개미                                    (롯데백화점노원점),9281,18
한식,달밭소곱창,8861,77
한식,하나샤브샤브,9008,8
한식,마실                                    (서울노원점),10415,2
한식,만원수산,3313,5
한식,어원일식,5660,0
한식,서서방고깃집,5770,3
한식,비와별닭갈비                                    (수락산역점),3121,5
한식,박대박부대찌개                                    (노원본점),5868,4
한식,새우꺾기,18891,11
한식,감동식당,1387,5
한식,봉추찜닭                                    (노원점),5908,12
한식,참누렁소가든                                    (노원점),5561,2
한식,진천막국수,4349,4
한식,선학쭈꾸미,2261,3
한식,화난덕                                    (노원점),776,0
한식,싱싱오징어바다                                    (과기대점),7467,6
한식,공릉회수산,4746,4
한식,두끼                                    (노원점),6322,3
한식,이오냉면,7121,8
한식,신가네칼국수,1817,5
한식,늘해돈,3187,3
한식,제주몸냥,888,3
한식,진미능이백숙,2529,2
한식,며느리도몰라,18429,13
한식,소라,4997,9
한식,대게나라(휴업중),6584,1
한식,고기파티,3967,1
한식,채선당                                    (수락산점),3268,1
한식,멍텅구리즉석떡볶이,14771,17
한식,엄마손칼국수,6810,9
한식,유부김밥,941,3
한식,원조닭갈비,1777,2
한식,대가가마솥순대국                                    (본점),406,2
한식,칠성동할매콩국수                                    (본점),12741,8
한식,공릉곱창,4005,5
한식,도리연닭도리탕,2354,5
한식,본가                                    (노원점),2541,2
한식,봉추찜닭                                    (석계점),5038,1
한식,새마을식당                                    (노원역점),4148,5
한식,채선당                                    (중계점),2993,0
한식,윤씨네족보,4474,7
한식,봉평산골메밀촌,4589,5
한식,빛나는바다                                    (수락산점),2030,4
한식,태능고향풍천장어,5024,3
한식,구석집,2344,3
한식,공릉모소리,45,1
한식,세광양대창                                    (노원점),640,0
한식,크래버대게나라                                    (노원점),2075,7
한식,소문난멸치국수,6175,7
한식,도리연닭도리탕                                    (공릉점),3538,5
한식,전민규의황제누룽지탕,5269,4
한식,봉구스밥버거                                    (서울과기대점),2779,0
한식,깻잎치킨                                    (공릉점),10225,8
한식,소문난기사식당,7410,8
한식,신전떡볶이                                    (노원점),8141,8
한식,찬이네곱창,4626,5
한식,로스2000,4235,5
한식,돈까스클럽                                    (서울온천점),3029,5
한식,화포식당                                    (노원점),3904,4
한식,여우곱창,3661,4
한식,매운삼겹살,1653,3
한식,숯불고깃집,1112,3
한식,다미국수,1861,2
한식,메밀마당,887,1
한식,용호낙지                                    (롯데백화점 노원점),505,1
한식,회신물회,338,1
한식,참만나                                    (노원점),5674,0
한식,예촌손수제비,773,0
