메뉴종류,상호명,조회수,리뷰수
분식,쪼매매운떡볶이,178749,71
분식,공릉우동집,58101,21
분식,두끼                                    (노원점),6322,3
분식,며느리도몰라,18429,13
분식,소라,4997,9
분식,멍텅구리즉석떡볶이,14771,17
분식,봉구스밥버거                                    (서울과기대점),2780,0
분식,고배우의깜장떡볶이,4657,7
분식,갑분식,477,0
분식,영스넥,6345,11
분식,스쿨푸드                                    (중계홈플러스점),980,2
분식,삐삐핵볶이,2644,4
분식,동대문엽기떡볶이                                    (노원역점),2767,2
분식,세븐돈까스김밥                                    (공릉점),3388,1
분식,신품떡볶이                                    (공릉점),1691,1
분식,동대문엽기떡볶이                                    (공릉점),2867,4
분식,바푸리숯불김밥                                    (노원점),2604,1
분식,고봉민김밥인                                    (서울중계점),1455,1
분식,오빠만두                                    (노원본점),1436,0
분식,아미스키친,672,0
분식,신참떡볶이,639,0
분식,삼진어묵                                    (노원점),598,0
분식,샘터분식,593,0
분식,보림분식,485,0
분식,얌샘                                    (노원점),441,0
분식,불사조스낵바,438,0
분식,파라솔분식,404,0
분식,오뚜기분식,315,0
분식,알뜰분식,2,0
