메뉴종류,상호명,조회수,리뷰수
양식,페페그라노,3509,5
양식,Jolly,31045,29
양식,버거투버거,57555,55
양식,핏짜굽는언니,52106,66
양식,아웃백스테이크하우스                                    (노원점),15381,17
양식,공릉동 도깨비,20526,13
양식,낙원스낵,17527,16
양식,어글리스토브                                    (서울노원역점),25002,38
양식,서가앤쿡                                    (노원점),10545,29
양식,제임스키친,15631,23
양식,이탈리안비스트로 쿠오레,3442,5
양식,버거톤,14197,11
양식,리틀파스타                                    (공릉직영점),8954,16
양식,테르미니,5722,6
양식,나우키친                                    (중계점),68178,15
양식,매일파스타,8135,15
양식,잭팟,1337,0
양식,애플민트,6024,6
양식,이층블루스,7891,11
양식,쉐이크쉑                                    (노원점),751,5
양식,7일간의양심,6500,2
양식,서브웨이                                    (공릉점),3267,1
양식,굿피자파스타,250,1
양식,오늘의 파스타,2247,0
양식,범피버거,732,1
양식,루이스 버거,5967,11
양식,로니로티                                    (노원점),1987,4
양식,롤링파스타                                    (노원역점),1060,4
양식,T.G.I.프라이데이스                                    (노원점),2737,2
양식,요남자파스타,722,2
양식,돔펠리체(휴업중),1838,1
양식,저스트버거,1290,1
양식,봉대박스파게티                                    (노원역점),6136,10
양식,파스타부오노                                    (원주단계점),4189,8
양식,플렉스버거,157,3
양식,지금보고싶다                                    (공릉점),1708,1
양식,르뽀렘,705,1
양식,메이크버거&샌드위치                                    (마들점),49,1
양식,오네스토테이블,3978,4
양식,클라우드9,3199,2
양식,롤링파스타                                    (월계이마트점),453,2
양식,플라잉볼                                    (공릉철길점),3232,1
양식,맘스터치                                    (과기대점),7392,6
양식,피자꾼,2342,3
양식,벼락이네띵똥땡키친,1092,2
양식,광주한양식당,2714,1
양식,666버거                                    (노원점),1441,1
양식,루맨틱,196,1
양식,맥도날드                                    (세이브존 노원점),2762,3
양식,피자알볼로                                    (공릉하계점),4286,2
양식,올리오,2611,2
양식,까르보네                                    (중계은행사거리점),1721,3
양식,우리집식당,295,1
양식,피자굽는오빠                                    (2호점),2355,1
양식,KFC                                    (노원롯데점),1727,1
양식,닐리                                    (중계점),940,3
양식,고피자                                    (중계학원가점),719,1
양식,마시써머거바,296,1
양식,라이스앤라이스                                    (노원점),2079,1
양식,도미노피자                                    (당고개점),1934,1
양식,수유다래함박스텍                                    (중계점),639,1
양식,토핑빨,388,1
양식,컨버터                                    (롯데백화점 노원점),119,1
양식,뉴욕핫도그&커피,1840,0
양식,화덕피자주는 부대찌개                                    (노원점),1381,0
양식,맘스터치                                    (노원하계점),1641,2
양식,아르노                                    (원주1호점),1609,2
양식,맘스터치                                    (노원점),2278,1
양식,맥도날드                                    (중계점),1684,1
양식,퀴즈노스                                    (중계점),1576,1
양식,까르보네                                    (노원점),1182,1
양식,카페마마스                                    (월계점),43,1
양식,크리스피자                                    (공릉점),2503,0
양식,피자스쿨                                    (상계삿갓점),2401,0
양식,맘스터치                                    (석계역점),2133,0
양식,토마토도시락                                    (중계은행사거리점),1874,0
양식,에뜨헴,1570,0
양식,만스피자,1420,0
양식,포레스트담,1240,0
양식,오르새피자                                    (화랑대점),1152,0
양식,KFC                                    (중계은행사거리점),1122,0
양식,아브라함피자,1106,0
양식,프랭크버거,824,0
양식,뽕뜨락피자                                    (노원역점),658,0
양식,샌드리아                                    (노원역점),623,0
양식,롯데리아                                    (팔달시장점),577,0
양식,공도,560,0
양식,피자굼터                                    (마들역점),531,0
양식,1830피체리아                                    (노원점),448,0
양식,프랭크버거                                    (화랑대역점),318,0
양식,퀸스테이크,248,0
양식,바이루시아,235,0
양식,피자베이                                    (중계점),214,0
양식,서오릉피자                                    (상계점),212,0
양식,샐러드조이,180,0
양식,버거킹                                    (노원역점),148,0
양식,옵션레스토랑,148,0
양식,플레어비                                    (롯데백화점 노원점),135,0
양식,프랭크버거                                    (노원다산점),114,0
양식,케슬리,103,0
양식,이태리포차by리박이네,82,1
양식,피자헛                                    (수락산역점),81,0
양식,오늘버거싶어,49,0
양식,whim,49,0
양식,호세야오리바베큐                                    (상계점),44,0
양식,샐러디                                    (노원역점),43,0
양식,덱스터버거,42,0
양식,샐러디                                    (태릉입구점),41,0
양식,빅스타피자                                    (하계공릉점),21,0
양식,샐러드로우앤트라타                                    (노원점),9,0
양식,붐바타                                    (화랑대역점),2,0
양식,아이러브피자,1,0
